Car_Name,Present_Price,Selling_Price,City,Year,Kms_Driven,Fuel_Type,HorsePower,Transmission,Certified,Seller_Type,Distance2
BMW 3 Series 5th (E90) Generation 2013 316i,PKR 78 lacs,7800000,Gujranwala,2013,"93,000km",Petrol,1800cc,Automatic,Not Certified,Customer,93000
BMW 5 Series  2003 530i,PKR 44 lacs,4400000,Lahore,2003,"121,000km",Petrol,3000cc,Automatic,Not Certified,Customer,121000
BMW 5 Series  2004 ,PKR 33 lacs,3300000,Lahore,2004,"99,000km",Petrol,2500cc,Manual,Not Certified,Customer,99000
BMW 5 Series  2004 530i,PKR 40 lacs,4000000,Karachi,2004,"150,000km",Petrol,3000cc,Automatic,Not Certified,Customer,150000
BMW 5 Series  2005 ,PKR 41 lacs,4100000,Faisalabad,2005,"140,888km",Diesel,3000cc,Automatic,Not Certified,PakWheels,140888
BMW 5 Series  2005 530d,PKR 36.5 lacs,3650000,Hafizabad,2005,"120,000km",Diesel,3000cc,Automatic,Not Certified,Customer,120000
BMW 5 Series  2005 530i,PKR 51 lacs,5100000,Karachi,2005,"58,000km",Petrol,3000cc,Automatic,Not Certified,Customer,58000
BMW 5 Series  2006 530i,PKR 55 lacs,5500000,Islamabad,2006,"100,000km",Petrol,3000cc,Automatic,Not Certified,Customer,100000
BMW 5 Series  2009 525i,PKR 58 lacs,5800000,Islamabad,2009,"177,000km",Petrol,2500cc,Automatic,Not Certified,Customer,177000
BMW 5 Series  2013 ,PKR 1.9 crore,19000000,Islamabad,2013,"72,000km",Petrol,4400cc,Automatic,Not Certified,Customer,72000
BMW 5 Series  2014 ,PKR 1.9 crore,19000000,Karachi,2014,"81,600km",Petrol,4400cc,Automatic,Not Certified,Customer,81600
BMW 5 Series  2021 530e,PKR 4.5 crore,45000000,Karachi,2021,"2,600km",Petrol,2000cc,Automatic,Not Certified,Customer,2600
BMW 5 Series  2024 ,PKR 3 crore,30000000,Lahore,2024,"3,000km",Petrol,2000cc,Automatic,Not Certified,Customer,3000
BMW 5 Series 5th (E60) Generation 2003 525i,PKR 31 lacs,3100000,Lahore,2003,"230,000km",Petrol,2500cc,Automatic,Not Certified,Customer,230000
BMW 5 Series 5th (E60) Generation 2003 530d,PKR 36 lacs,3600000,Mansehra,2003,"180,000km",Diesel,3000cc,Automatic,Not Certified,Customer,180000
BMW 5 Series 5th (E60) Generation 2004 525i,PKR 38 lacs,3800000,Lahore,2004,"150,000km",Petrol,2500cc,Automatic,Not Certified,Customer,150000
BMW 5 Series 5th (E60) Generation 2004 530d,PKR 42.5 lacs,4250000,Islamabad,2004,"280,000km",Diesel,3000cc,Automatic,Not Certified,Customer,280000
BMW 5 Series 5th (E60) Generation 2004 530i,PKR 42 lacs,4200000,Multan,2004,"122,000km",Petrol,3000cc,Automatic,Not Certified,Customer,122000
BMW 5 Series 5th (E60) Generation 2005 523i,PKR 50 lacs,5000000,Faisalabad,2005,"170,000km",Petrol,2500cc,Automatic,Not Certified,Customer,170000
BMW 5 Series 5th (E60) Generation 2005 530i,PKR 68 lacs,6800000,Sialkot,2005,"98,000km",Petrol,3000cc,Automatic,Not Certified,Customer,98000
BMW 5 Series 5th (E60) Generation 2006 520d,PKR 42.5 lacs,4250000,Lahore,2006,"123,456km",Diesel,2000cc,Automatic,Not Certified,Customer,123456
BMW 5 Series 5th (E60) Generation 2007 523i,PKR 46 lacs,4600000,Gujranwala,2007,"175,000km",Petrol,2500cc,Automatic,Not Certified,Customer,175000
BMW 5 Series 5th (E60) Generation 2007 525i,PKR 50 lacs,5000000,Lahore,2007,"12,500km",Petrol,2500cc,Automatic,Not Certified,Customer,12500
BMW 5 Series 5th (E60) Generation 2008 523i,PKR 45 lacs,4500000,Lahore,2008,"140,000km",Petrol,2500cc,Automatic,Not Certified,Customer,140000
BMW 5 Series 6th (F10) Generation 2010 520d,PKR 1.1 crore,11000000,Lahore,2010,"69,530km",Diesel,2000cc,Automatic,Not Certified,Customer,69530
BMW 5 Series 6th (F10) Generation 2011 528i,PKR 1.45 crore,14500000,Lahore,2011,"81,463km",Petrol,2000cc,Automatic,Not Certified,PakWheels,81463
BMW 5 Series 6th (F10) Generation 2012 520d,PKR 1.3 crore,13000000,Nowsheracantt,2012,"135,000km",Diesel,2000cc,Automatic,Not Certified,Customer,135000
BMW 7 Series  2002 735i,PKR 43 lacs,4300000,Islamabad,2002,"123,000km",Petrol,3600cc,Automatic,Not Certified,Customer,123000
BMW 7 Series  2002 745Li,PKR 58.5 lacs,5850000,Lahore,2002,"122,000km",Petrol,4400cc,Automatic,Not Certified,Customer,122000
BMW 7 Series  2002 745i,PKR 45 lacs,4500000,Peshawar,2002,"160,000km",Petrol,4400cc,Automatic,Not Certified,Customer,160000
BMW 7 Series  2003 730i,PKR 42.5 lacs,4250000,Islamabad,2003,"150,000km",Petrol,3000cc,Automatic,Not Certified,Customer,150000
BMW 7 Series  2004 730d,PKR 70 lacs,7000000,Faisalabad,2004,1km,Diesel,3000cc,Automatic,Not Certified,Customer,1
BMW 7 Series  2004 745Li,PKR 42 lacs,4200000,Karachi,2004,"80,000km",Petrol,4400cc,Automatic,Not Certified,Customer,80000
BMW 7 Series  2005 ,PKR 59 lacs,5900000,Islamabad,2005,"170,000km",Petrol,4000cc,Automatic,Not Certified,Customer,170000
BMW 7 Series  2006 ,PKR 85 lacs,8500000,Lahore,2006,"183,000km",Petrol,4000cc,Automatic,Not Certified,Customer,183000
BMW 7 Series  2007 ,PKR 60 lacs,6000000,Sialkot,2007,"155,000km",Petrol,5000cc,Automatic,Not Certified,Customer,155000
BMW 7 Series  2013 ActiveHybrid 7L,PKR 1.95 crore,19500000,Islamabad,2013,"60,636km",Hybrid,3000cc,Automatic,Not Certified,Customer,60636
BMW 7 Series  2014 ActiveHybrid 7L,PKR 2.15 crore,21500000,Lahore,2014,"60,000km",Hybrid,3000cc,Automatic,Not Certified,Customer,60000
BMW 7 Series  2017 740 Le xDrive,PKR 3.5 crore,35000000,Lahore,2017,"55,000km",Hybrid,2000cc,Automatic,Not Certified,Customer,55000
BMW 7 Series  2019 740 Le xDrive,PKR 6.4 crore,64000000,Islamabad,2019,"26,000km",Hybrid,2000cc,Automatic,Not Certified,Customer,26000
BMW 7 Series  2021 ,PKR 6.25 crore,62500000,Lahore,2021,"51,000km",Hybrid,3000cc,Automatic,Not Certified,Customer,51000
BMW 7 Series  2022 i7 xDrive60 Excellence,PKR 7.1 crore,71000000,Lahore,2022,"8,000km",Electric,105.0kWh,Automatic,Not Certified,Customer,8000
BMW 7 Series  2022 i7 xDrive60 M Sports,PKR 6.9 crore,69000000,Lahore,2022,"15,000km",Electric,105.7kWh,Automatic,Not Certified,Customer,15000
BMW 7 Series  2023 i7 xDrive60 Excellence,PKR 8.4 crore,84000000,Lahore,2023,130km,Electric,105.0kWh,Automatic,Not Certified,Customer,130
BMW 7 Series  2023 i7 xDrive60 M Pro Package,PKR 6.95 crore,69500000,Islamabad,2023,"3,000km",Electric,102.0kWh,Automatic,Not Certified,Customer,3000
BMW 7 Series  2023 i7 xDrive60 M Sports,PKR 9.15 crore,91500000,Lahore,2023,27km,Electric,105.0kWh,Automatic,Not Certified,Customer,27
BMW 7 Series  2024 i7 xDrive50 M Sport,PKR 7.25 crore,72500000,Karachi,2024,150km,Electric,101.0kWh,Automatic,Not Certified,Customer,150
BMW 7 Series  2024 i7 xDrive60 Excellence,PKR 7.5 crore,75000000,Islamabad,2024,100km,Electric,101.0kWh,Automatic,Not Certified,Customer,100
BMW 7 Series  2024 i7 xDrive60 M Pro Package,PKR 7.55 crore,75500000,Islamabad,2024,90km,Electric,102.0kWh,Automatic,Not Certified,Customer,90
BMW 7 Series  2024 i7 xDrive60 M Sports,PKR 7.07 crore,70700000,Lahore,2024,1km,Electric,105.0kWh,Automatic,Not Certified,Customer,1
BMW 7 Series 4th (E65) Generation 2002 745i,PKR 43.5 lacs,4350000,Lahore,2002,"12,345km",Petrol,4400cc,Automatic,Not Certified,Customer,12345
BMW 7 Series 4th (E65) Generation 2003 ,PKR 45 lacs,4500000,Islamabad,2003,"200,000km",Petrol,4400cc,Automatic,Not Certified,Customer,200000
BMW 7 Series 4th (E65) Generation 2003 730Li,PKR 30.4 lacs,3040000,Karachi,2003,"160,000km",Petrol,3000cc,Automatic,Not Certified,Customer,160000
BMW 7 Series 4th (E65) Generation 2003 730d,PKR 38 lacs,3800000,Rawalpindi,2003,"165,000km",Diesel,3000cc,Automatic,Not Certified,Customer,165000
BMW 7 Series 4th (E65) Generation 2003 735i,PKR 40 lacs,4000000,Lahore,2003,"85,000km",Petrol,3600cc,Automatic,Not Certified,Customer,85000
BMW 7 Series 4th (E65) Generation 2003 745Li,PKR 60 lacs,6000000,Islamabad,2003,"113,000km",Petrol,4400cc,Automatic,Not Certified,Customer,113000
BMW 7 Series 4th (E65) Generation 2004 745Li,PKR 35 lacs,3500000,Rawalpindi,2004,"85,000km",Petrol,4400cc,Automatic,Not Certified,PakWheels,85000
BMW 7 Series 4th (E65) Generation 2005 730i,PKR 48 lacs,4800000,Lahore,2005,"78,000km",Petrol,3000cc,Automatic,Not Certified,Customer,78000
BMW 7 Series 4th (E65) Generation 2006 745Li,PKR 68 lacs,6800000,Rawalpindi,2006,"120,000km",Petrol,4400cc,Automatic,Not Certified,Customer,120000
BMW 7 Series 4th (E65) Generation 2007 745Li,PKR 68 lacs,6800000,Bahawalnagar,2007,"99,000km",Petrol,4400cc,Automatic,Not Certified,Customer,99000
