Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission
Honda Life  2013 Diva Turbo Cool Select,2013,1530000,1530000,130000,Petrol,Customer,Automatic
Honda Life  2013 G Comfort Select,2013,2150000,2150000,68000,Petrol,Customer,Automatic
Honda Life  2014 ,2014,1900000,1900000,90000,Petrol,Customer,Automatic
Honda Life  2014 C,2014,2150000,2150000,98652,Petrol,PakWheels,Automatic
Honda Life  2014 C Special Edition Comfort Special,2014,1850000,1850000,150000,Petrol,Customer,Automatic
Honda Life  2016 Diva Turbo,2016,2385000,2385000,169000,Petrol,Customer,Automatic
Honda N Box  1999 ,1999,2350000,2350000,8,Petrol,Customer,Manual
Honda N Box  2012 G-L Package,2012,2375000,2375000,122600,Petrol,Customer,Automatic
Honda N Box  2013 ,2013,2650000,2650000,150000,Petrol,Customer,Automatic
Honda N Box  2013 2 Tone Color Style - G L Package,2013,2450000,2450000,30000,Petrol,Customer,Automatic
Honda N Box  2013 2Tone Color Style - L Package,2013,2250000,2250000,96000,Petrol,Customer,Automatic
Honda N Box  2013 C,2013,2300000,2300000,152000,Petrol,Customer,Automatic
Honda N Box  2013 G,2013,2400000,2400000,136192,Petrol,Customer,Automatic
Honda N Box  2013 G Turbo SS Package,2013,2820000,2820000,73000,Petrol,Customer,Automatic
Honda N Box  2014 ,2014,2750000,2750000,62000,Petrol,Customer,Automatic
Honda N Box  2014 2 Tone Color Style - G L Package,2014,2450000,2450000,38880,Petrol,Customer,Automatic
Honda N Box  2014 2 Tone Color Style - G SS Package,2014,2150000,2150000,116000,Petrol,Customer,Automatic
Honda N Box  2014 2Tone Color Style G Turbo Package,2014,2450000,2450000,83000,Petrol,Customer,Automatic
Honda N Box  2014 G,2014,2600000,2600000,205000,Petrol,Customer,Automatic
Honda N Box  2014 G-L Package,2014,2575000,2575000,50000,Petrol,Customer,Automatic
Honda N Box  2015 ,2015,2700000,2700000,111000,Petrol,Customer,Automatic
Honda N Box  2015 2 Tone Color Style - G L Package,2015,2550000,2550000,100000,Petrol,Customer,Automatic
Honda N Box  2015 C,2015,2110000,2110000,95000,Petrol,Customer,Automatic
Honda N Box  2015 G,2015,2340000,2340000,98010,Petrol,PakWheels,Automatic
Honda N Box  2015 G Turbo SS Package,2015,2725000,2725000,68038,Petrol,Customer,Automatic
Honda N Box  2015 G-L Package,2015,2350000,2350000,109682,Petrol,PakWheels,Automatic
Honda N Box  2016 G,2016,3000000,3000000,70000,Petrol,Customer,Automatic
Honda N Box  2017 ,2017,2100000,2100000,75000,Petrol,Customer,Automatic
Honda N Box  2017 G-L Package,2017,2375000,2375000,140000,Petrol,Customer,Automatic
Honda N Box  2017 Slash G,2017,2950000,2950000,56000,Petrol,Customer,Automatic
Honda N Box  2017 Slash X,2017,2650000,2650000,108000,Petrol,Customer,Automatic
Honda N Box  2018 ,2018,3299000,3299000,33000,Petrol,Customer,Automatic
Honda N Box  2018 Slash G,2018,3165000,3165000,47000,Petrol,Customer,Automatic
Honda N Box  2019 ,2019,3579999,3579999,3721,Petrol,Customer,Automatic
Honda N Box  2019 Slash G L Package,2019,3000000,3000000,26000,Petrol,Customer,Automatic
Honda N Box  2019 Slash X Turbo Package,2019,3375000,3375000,40000,Petrol,Customer,Automatic
Honda N Box  2020 ,2020,3900000,3900000,27109,Petrol,Customer,Automatic
Honda N Box  2020 Custom GL,2020,3800000,3800000,38000,Petrol,Customer,Automatic
Honda N Box  2020 Slash G,2020,3640000,3640000,21425,Petrol,Customer,Automatic
Honda N Box  2020 Slash G L Package,2020,3779999,3779999,36000,Petrol,Customer,Automatic
Honda N Box  2020 Slash X Turbo Package,2020,3560000,3560000,35000,Petrol,Customer,Automatic
Honda N Box  2021 ,2021,3950000,3950000,15200,Petrol,Customer,Automatic
Honda N Box  2021 Custom GL,2021,3650000,3650000,27222,Petrol,PakWheels,Automatic
Honda N Box  2021 G Turbo L Package,2021,3890000,3890000,18089,Petrol,Customer,Automatic
Honda N Box  2021 Slash G,2021,3390000,3390000,66000,Petrol,Customer,Automatic
Honda N Box  2021 Slash G L Package,2021,3850000,3850000,13000,Petrol,Customer,Automatic
Honda N Box  2021 Slash X,2021,2965000,2965000,16000,Petrol,Customer,Automatic
Honda N Box  2021 Slash X Turbo Package,2021,3350000,3350000,8000,Petrol,Customer,Automatic
Honda N Box  2022 ,2022,3675000,3675000,23000,Petrol,Customer,Automatic
Honda N Box  2022 Slash G,2022,3550000,3550000,18000,Petrol,Customer,Automatic
Honda N Box  2022 Slash G L Package,2022,3299000,3299000,57000,Petrol,Customer,Automatic
Honda N Box  2024 Slash X,2024,3575000,3575000,1,Petrol,Customer,Automatic
Honda N One  2011 ,2011,2350000,2350000,102000,Petrol,Customer,Automatic
Honda N One  2012 ,2012,2390000,2390000,80000,Petrol,Customer,Automatic
Honda N One  2012 G,2012,1850000,1850000,81564,Petrol,PakWheels,Automatic
Honda N One  2012 G Lowdown Basic,2012,2350000,2350000,91000,Petrol,Customer,Automatic
Honda N One  2012 Premium,2012,2250000,2250000,117811,Petrol,Customer,Automatic
Honda N One  2012 Premium Tourer,2012,2400000,2400000,140000,Petrol,Customer,Automatic
Honda N One  2013 ,2013,2550000,2550000,123000,Petrol,Customer,Automatic
Honda N One  2013 G,2013,2300000,2300000,120000,Petrol,Customer,Automatic
Honda N One  2013 G L Package ,2013,2550000,2550000,145000,Petrol,Customer,Automatic
Honda N One  2013 Premium,2013,2690000,2690000,135000,Petrol,Customer,Automatic
Honda N One  2013 Premium Tourer,2013,2875000,2875000,66000,Petrol,Customer,Automatic
Honda N One  2013 SS Brown Style Package,2013,2550000,2550000,116000,Petrol,Customer,Automatic
Honda N One  2013 Tourer,2013,2900000,2900000,129000,Petrol,Customer,Automatic
Honda N One  2014 ,2014,2600000,2600000,90000,Petrol,Customer,Automatic
Honda N One  2014 G,2014,2300000,2300000,137816,Petrol,PakWheels,Automatic
Honda N One  2014 G L Package ,2014,2475000,2475000,80000,Petrol,Customer,Automatic
Honda N One  2014 Premium,2014,2850000,2850000,96500,Petrol,Customer,Automatic
Honda N One  2014 Premium Tourer,2014,2725000,2725000,112000,Petrol,Customer,Automatic
Honda N One  2015 G,2015,2600000,2600000,74000,Petrol,Customer,Automatic
Honda N One  2015 G L Package ,2015,2325000,2325000,184493,Petrol,PakWheels,Automatic
Honda N One  2015 Premium,2015,2620000,2620000,152000,Petrol,Customer,Automatic
Honda N One  2015 Premium Tourer,2015,2550000,2550000,115000,Petrol,Customer,Automatic
Honda N One  2015 Tourer,2015,2600000,2600000,96000,Petrol,Customer,Automatic
Honda N One  2016 G,2016,2650000,2650000,85855,Petrol,Customer,Automatic
Honda N One  2016 G L Package ,2016,2665000,2665000,70000,Petrol,Customer,Automatic
Honda N One  2016 Premium Tourer,2016,2750000,2750000,66000,Petrol,Customer,Automatic
Honda N One  2017 G,2017,2950000,2950000,50000,Petrol,Customer,Automatic
Honda N One  2017 G L Package ,2017,2775000,2775000,115000,Petrol,Customer,Automatic
Honda N One  2017 Premium,2017,2900000,2900000,133000,Petrol,Customer,Automatic
Honda N One  2018 ,2018,3250000,3250000,74344,Petrol,PakWheels,Automatic
Honda N One  2018 SS Brown Style Package,2018,3100000,3100000,35000,Petrol,Customer,Automatic
Honda N One  2019 G,2019,2950000,2950000,42000,Petrol,Customer,Automatic
Honda N One  2019 G L Package ,2019,3050000,3050000,67000,Petrol,Customer,Automatic
Honda N One  2019 Premium Tourer,2019,3650000,3650000,39200,Petrol,Customer,Automatic
Honda N One  2020 Premium Tourer,2020,4050000,4050000,18000,Petrol,Customer,Automatic
Honda N One  2021 ,2021,4300000,4300000,17557,Petrol,Customer,Automatic
Honda N One  2021 Premium Tourer,2021,4450000,4450000,24000,Petrol,Customer,Automatic
Honda N One  2022 ,2022,4050000,4050000,2500,Petrol,Customer,Automatic
Honda N One  2022 Premium Tourer,2022,4300000,4300000,5000,Petrol,Customer,Automatic
Honda N One  2023 Premium Tourer,2023,4500000,4500000,9000,Petrol,Customer,Automatic
Honda N One  2024 Premium Tourer,2024,4500000,4500000,21268,Petrol,Customer,Automatic
Honda N Wgn  2013 ,2013,2325000,2325000,135000,Petrol,Customer,Automatic
Honda N Wgn  2014 ,2014,2700000,2700000,109088,Petrol,Customer,Automatic
Honda N Wgn  2014 C,2014,2650000,2650000,100000,Petrol,Customer,Automatic
Honda N Wgn  2014 Custom G,2014,2675000,2675000,59000,Petrol,Customer,Automatic
Honda N Wgn  2014 Custom G L Package,2014,2650000,2650000,88000,Petrol,Customer,Automatic
Honda N Wgn  2014 Custom G Turbo,2014,3100000,3100000,81000,Petrol,Customer,Automatic
Honda N Wgn  2014 G,2014,2570000,2570000,177335,Petrol,Customer,Automatic
Honda N Wgn  2014 G A Package,2014,2480000,2480000,79000,Petrol,Customer,Automatic
Honda N Wgn  2014 G L Package,2014,2550000,2550000,113000,Petrol,Customer,Automatic
Honda N Wgn  2014 G Turbo ,2014,2500000,2500000,70000,Petrol,Customer,Automatic
Honda N Wgn  2015 ,2015,2800000,2800000,160000,Petrol,Customer,Automatic
Honda N Wgn  2015 C,2015,2700000,2700000,145000,Petrol,Customer,Automatic
Honda N Wgn  2015 Custom G Turbo,2015,2885000,2885000,91000,Petrol,Customer,Automatic
Honda N Wgn  2015 G,2015,2700000,2700000,165712,Petrol,PakWheels,Automatic
Honda N Wgn  2015 G L Package,2015,2650000,2650000,124000,Petrol,Customer,Automatic
Honda N Wgn  2016 ,2016,2800000,2800000,81179,Petrol,Customer,Automatic
Honda N Wgn  2016 Custom G,2016,2950000,2950000,98000,Petrol,Customer,Automatic
Honda N Wgn  2016 Custom G L Package,2016,2590000,2590000,78300,Petrol,Customer,Automatic
Honda N Wgn  2016 Custom G Turbo,2016,3175000,3175000,130000,Petrol,Customer,Automatic
Honda N Wgn  2016 G,2016,2825000,2825000,73000,Petrol,Customer,Automatic
Honda N Wgn  2016 G L Package,2016,2785000,2785000,91200,Petrol,Customer,Automatic
Honda N Wgn  2017 ,2017,2900000,2900000,97000,Petrol,Customer,Automatic
Honda N Wgn  2017 C,2017,2900000,2900000,85000,Petrol,Customer,Automatic
Honda N Wgn  2017 Custom G,2017,2890000,2890000,59000,Petrol,Customer,Automatic
Honda N Wgn  2017 Custom G L Package,2017,2980000,2980000,49400,Petrol,Customer,Automatic
Honda N Wgn  2017 Custom G Turbo,2017,3100000,3100000,75000,Petrol,Customer,Automatic
Honda N Wgn  2017 G,2017,3400000,3400000,18521,Petrol,PakWheels,Automatic
Honda N Wgn  2017 G A Package,2017,2750000,2750000,91031,Petrol,Customer,Automatic
Honda N Wgn  2017 G L Package,2017,2750000,2750000,90000,Petrol,Customer,Automatic
Honda N Wgn  2018 ,2018,3090000,3090000,53000,Petrol,Customer,Automatic
Honda N Wgn  2018 Custom G,2018,3250000,3250000,78234,Petrol,PakWheels,Automatic
Honda N Wgn  2018 Custom G Turbo,2018,2975000,2975000,72000,Petrol,Customer,Automatic
Honda N Wgn  2018 G,2018,3550000,3550000,53201,Petrol,PakWheels,Automatic
Honda N Wgn  2018 G A Package,2018,2650000,2650000,36000,Petrol,Customer,Automatic
Honda N Wgn  2018 G L Package,2018,2750000,2750000,107000,Petrol,Customer,Automatic
Honda N Wgn  2019 ,2019,3100000,3100000,58000,Petrol,Customer,Automatic
Honda N Wgn  2019 C,2019,2700000,2700000,56000,Petrol,Customer,Automatic
Honda N Wgn  2019 Custom G,2019,3100000,3100000,105600,Petrol,Customer,Automatic
Honda N Wgn  2019 Custom G L Package,2019,3750000,3750000,13200,Petrol,Customer,Automatic
Honda N Wgn  2019 Custom G Turbo,2019,3500000,3500000,73000,Petrol,Customer,Automatic
Honda N Wgn  2019 G,2019,3300000,3300000,37200,Petrol,Customer,Automatic
Honda N Wgn  2020 ,2020,4200000,4200000,9000,Petrol,Customer,Automatic
Honda N Wgn  2020 Custom,2020,4300000,4300000,1212,Petrol,Customer,Automatic
Honda N Wgn  2020 G,2020,4500000,4500000,26000,Petrol,Customer,Automatic
Honda N Wgn  2020 G Turbo ,2020,4100000,4100000,40000,Petrol,Customer,Automatic
Honda N Wgn  2021 ,2021,3975000,3975000,4000,Petrol,Customer,Automatic
Honda N Wgn  2021 Custom,2021,3400000,3400000,21000,Petrol,Customer,Automatic
Honda N Wgn  2021 G,2021,4050000,4050000,13000,Petrol,Customer,Automatic
Honda N Wgn  2021 G Turbo ,2021,3950000,3950000,4000,Petrol,Customer,Automatic
Honda N Wgn  2022 ,2022,3850000,3850000,8000,Petrol,Customer,Automatic
Honda N Wgn  2022 Custom,2022,4200000,4200000,8590,Petrol,Customer,Automatic
Honda N Wgn  2022 G,2022,3879999,3879999,7500,Petrol,Customer,Automatic
Honda N Wgn  2022 G Turbo ,2022,4095000,4095000,45420,Petrol,Customer,Automatic
Honda N Wgn  2023 ,2023,3400000,3400000,6000,Petrol,Customer,Automatic
Honda N Wgn  2023 G,2023,3999000,3999000,3000,Petrol,Customer,Automatic
Honda N Wgn  2024 G,2024,3500000,3500000,6300,Petrol,Customer,Automatic
Honda N Wgn  2024 G Turbo ,2024,3600000,3600000,1000,Petrol,Customer,Automatic
Honda N-Van  2014 ,2014,1150000,1150000,147528,Petrol,Customer,Automatic
Honda N-Van  2016 ,2016,2850000,2850000,103008,Petrol,PakWheels,Automatic
Honda N-Van  2021 G,2021,3150000,3150000,62000,Petrol,Customer,Automatic
Honda Other  1997 ,1997,1100000,1100000,100000,Petrol,Customer,Automatic
Honda Other  2005 ,2005,2000000,2000000,26000,Diesel,Customer,Manual
Honda Other  2014 ,2014,2195000,2195000,50000,Petrol,Customer,Automatic
Honda S660  2015 ,2015,3700000,3700000,51000,Petrol,Customer,Automatic
Honda S660  2015 Alpha,2015,3700000,3700000,77000,Petrol,Customer,Manual
Honda S660  2016 ,2016,3750000,3750000,19800,Petrol,Customer,Manual
Honda S660  2016 Alpha,2016,3500000,3500000,80000,Petrol,Customer,Manual
Honda S660  2018 ,2018,3300000,3300000,31000,Petrol,Customer,Manual
Honda S660  2020 ,2020,4400000,4400000,58000,Petrol,Customer,Automatic
Honda S660  2021 ,2021,5200000,5200000,28000,Petrol,Customer,Automatic
Honda S660  2021 Alpha,2021,6400000,6400000,81000,Petrol,Customer,Automatic
Honda Spike  2012 ,2012,3800000,3800000,160000,Hybrid,Customer,Automatic
Honda Spike  2012 + Hybrid EX,2012,2949000,2949000,82000,Hybrid,Customer,Automatic
Honda Spike  2013 ,2013,3400000,3400000,100000,Hybrid,Customer,Automatic
Honda Spike  2014 ,2014,3675000,3675000,129000,Hybrid,Customer,Automatic
Honda Stream  2007 1.8 RSZ,2007,3250000,3250000,182913,Petrol,Customer,Automatic
Honda Stream  2012 1.8 RSZ,2012,3050000,3050000,182000,Petrol,Customer,Automatic
Honda Thats  2005 Base Grade,2005,1390000,1390000,100000,Petrol,Customer,Automatic
Honda Thats  2007 Base Grade,2007,1530000,1530000,100000,Petrol,Customer,Automatic
Honda Thats  2013 ,2013,1700000,1700000,200000,Petrol,Customer,Automatic
Honda Vamos  2009 ,2009,850000,850000,150000,Petrol,Customer,Manual
Honda Vamos  2011 M STYLISH PACKAGE,2011,1279000,1279000,90000,Petrol,Customer,Automatic
Honda Vamos  2013 M STYLISH PACKAGE,2013,1650000,1650000,166940,Petrol,Customer,Automatic
Honda Vamos  2015 ,2015,1325000,1325000,70350,Petrol,Customer,Automatic
Honda Vamos  2016 ,2016,1900000,1900000,3940,Petrol,Customer,Manual
Honda Vamos  2016 M STYLISH PACKAGE,2016,1385000,1385000,222211,Petrol,Customer,Automatic
Honda Vezel  2013 ,2013,4590000,4590000,132400,Hybrid,Customer,Automatic
Honda Vezel  2013 Hybrid X,2013,4675000,4675000,126000,Hybrid,Customer,Automatic
Honda Vezel  2013 Hybrid X L Package,2013,4200000,4200000,129000,Hybrid,Customer,Automatic
Honda Vezel  2013 Hybrid Z,2013,4450000,4450000,160000,Hybrid,Customer,Automatic
Honda Vezel  2013 X,2013,4690000,4690000,78000,Petrol,Customer,Automatic
Honda Vezel  2014 ,2014,4980000,4980000,75000,Hybrid,Customer,Automatic
Honda Vezel  2014 G,2014,4250000,4250000,82000,Petrol,Customer,Automatic
Honda Vezel  2014 Hybrid X,2014,5500000,5500000,88000,Hybrid,Customer,Automatic
Honda Vezel  2014 Hybrid X L Package,2014,4950000,4950000,130000,Hybrid,Customer,Automatic
Honda Vezel  2014 Hybrid Z,2014,6000000,6000000,48000,Hybrid,Customer,Automatic
Honda Vezel  2014 Hybrid Z Honda Sensing ,2014,4650000,4650000,105000,Hybrid,Customer,Automatic
Honda Vezel  2014 X,2014,4050000,4050000,94000,Petrol,Customer,Automatic
Honda Vezel  2014 X Honda Sensing,2014,5075000,5075000,146000,Hybrid,Customer,Automatic
Honda Vezel  2015 ,2015,6000000,6000000,159857,Petrol,Customer,Automatic
Honda Vezel  2015 G,2015,5350000,5350000,58000,Petrol,Customer,Automatic
Honda Vezel  2015 Hybrid X,2015,6000000,6000000,107000,Hybrid,Customer,Automatic
Honda Vezel  2015 Hybrid X L Package,2015,5400000,5400000,786,Hybrid,Customer,Automatic
Honda Vezel  2015 Hybrid Z,2015,6000000,6000000,54877,Hybrid,PakWheels,Automatic
Honda Vezel  2015 Hybrid Z Honda Sensing ,2015,5500000,5500000,48801,Hybrid,Customer,Automatic
Honda Vezel  2015 Hybrid Z Style Edition,2015,5700000,5700000,71000,Hybrid,Customer,Automatic
Honda Vezel  2015 X,2015,5400000,5400000,165888,Petrol,PakWheels,Automatic
Honda Vezel  2015 X Honda Sensing,2015,4650000,4650000,110000,Hybrid,Customer,Automatic
Honda Vezel  2016 ,2016,6250000,6250000,130000,Hybrid,Customer,Automatic
Honda Vezel  2016 Hybrid RS Honda Sensing ,2016,8200000,8200000,72000,Hybrid,Customer,Automatic
Honda Vezel  2016 Hybrid X,2016,6500000,6500000,69727,Hybrid,PakWheels,Automatic
Honda Vezel  2016 Hybrid X Honda Sensing,2016,6700000,6700000,104144,Hybrid,PakWheels,Automatic
Honda Vezel  2016 Hybrid X L Package,2016,5495000,5495000,129000,Hybrid,Customer,Automatic
Honda Vezel  2016 Hybrid Z,2016,6500000,6500000,112000,Hybrid,Customer,Automatic
Honda Vezel  2016 Hybrid Z Honda Sensing ,2016,6800000,6800000,121400,Hybrid,Customer,Automatic
Honda Vezel  2016 Hybrid Z Style Edition,2016,5900000,5900000,85000,Hybrid,Customer,Automatic
Honda Vezel  2017 ,2017,7200000,7200000,55000,Hybrid,Customer,Automatic
Honda Vezel  2017 Hybrid RS Honda Sensing ,2017,9100000,9100000,68000,Petrol,Customer,Automatic
Honda Vezel  2017 Hybrid X,2017,6000000,6000000,199000,Hybrid,Customer,Automatic
Honda Vezel  2017 Hybrid X Honda Sensing,2017,7000000,7000000,95640,Hybrid,Customer,Automatic
Honda Vezel  2017 Hybrid Z,2017,7200000,7200000,54000,Hybrid,Customer,Automatic
Honda Vezel  2017 Hybrid Z Honda Sensing ,2017,7600000,7600000,65000,Hybrid,Customer,Automatic
Honda Vezel  2017 Hybrid Z Style Edition,2017,6448999,6448999,54000,Hybrid,Customer,Automatic
Honda Vezel  2018 ,2018,8000000,8000000,41000,Hybrid,Customer,Automatic
Honda Vezel  2018 Hybrid RS Honda Sensing ,2018,9000000,9000000,55000,Hybrid,Customer,Automatic
Honda Vezel  2018 Hybrid X,2018,7700000,7700000,49000,Hybrid,Customer,Automatic
Honda Vezel  2018 Hybrid X Honda Sensing,2018,7550000,7550000,72000,Hybrid,Customer,Automatic
Honda Vezel  2018 Hybrid X L Package,2018,7800000,7800000,51000,Hybrid,Customer,Automatic
Honda Vezel  2018 Hybrid X Style Edition,2018,7500000,7500000,57152,Hybrid,PakWheels,Automatic
Honda Vezel  2018 Hybrid Z,2018,8500000,8500000,38292,Hybrid,Customer,Automatic
Honda Vezel  2018 Hybrid Z Honda Sensing ,2018,8375000,8375000,62000,Petrol,Customer,Automatic
Honda Vezel  2018 Hybrid Z Style Edition,2018,6300000,6300000,125000,Hybrid,Customer,Automatic
Honda Vezel  2018 X Honda Sensing,2018,7000000,7000000,69000,Petrol,Customer,Automatic
Honda Vezel  2019 ,2019,9000000,9000000,33500,Hybrid,Customer,Automatic
Honda Vezel  2019 Hybrid RS Honda Sensing ,2019,9000000,9000000,97000,Hybrid,Customer,Automatic
Honda Vezel  2019 Hybrid X,2019,8500000,8500000,56000,Hybrid,Customer,Automatic
Honda Vezel  2019 Hybrid X Honda Sensing,2019,7950000,7950000,31000,Hybrid,Customer,Automatic
Honda Vezel  2019 Hybrid X L Package,2019,7100000,7100000,44000,Hybrid,Customer,Automatic
Honda Vezel  2019 Hybrid Z,2019,8650000,8650000,22800,Hybrid,Customer,Automatic
Honda Vezel  2019 Hybrid Z Honda Sensing ,2019,9200000,9200000,49597,Hybrid,Customer,Automatic
Honda Vezel  2019 Hybrid Z Style Edition,2019,8500000,8500000,19000,Petrol,Customer,Automatic
Honda Vezel  2019 X,2019,7900000,7900000,45000,Petrol,Customer,Automatic
Honda Vezel  2019 X Honda Sensing,2019,7975000,7975000,44000,Petrol,Customer,Automatic
Honda Vezel  2020 ,2020,8250000,8250000,24532,Hybrid,Customer,Automatic
Honda Vezel  2020 Hybrid RS Honda Sensing ,2020,9250000,9250000,30600,Hybrid,Customer,Automatic
Honda Vezel  2020 Hybrid Z,2020,9500000,9500000,8846,Hybrid,Customer,Automatic
Honda Vezel  2020 Hybrid Z Honda Sensing ,2020,8700000,8700000,115000,Hybrid,Customer,Automatic
Honda Vezel  2020 Hybrid Z Style Edition,2020,9400000,9400000,10102,Hybrid,Customer,Automatic
Honda Vezel  2021 ,2021,12800000,12800000,9065,Hybrid,Customer,Automatic
Honda Vezel  2021 Hybrid RS Honda Sensing ,2021,8100000,8100000,34000,Hybrid,Customer,Automatic
Honda Vezel  2021 Hybrid Z Honda Sensing ,2021,11100000,11100000,22000,Hybrid,Customer,Automatic
Honda Vezel  2021 e-HEV Play,2021,13500000,13500000,28000,Hybrid,Customer,Automatic
Honda Vezel  2021 e-HEV X,2021,12500000,12500000,28000,Hybrid,Customer,Automatic
Honda Vezel  2021 e-HEV Z,2021,14000000,14000000,13000,Hybrid,Customer,Automatic
Honda Vezel  2022 ,2022,7100000,7100000,32000,Hybrid,Customer,Automatic
Honda Vezel  2022 e-HEV X,2022,10000000,10000000,11000,Hybrid,Customer,Automatic
Honda Vezel  2022 e-HEV Z,2022,12500000,12500000,1222,Hybrid,Customer,Automatic
Honda Vezel  2023 e-HEV Play,2023,14300000,14300000,9000,Hybrid,Customer,Automatic
Honda Vezel  2024 ,2024,8075000,8075000,77000,Hybrid,Customer,Automatic
Honda Z  2006 ,2006,944999,944999,198600,Petrol,Customer,Automatic
Honda Zest  2007 D,2007,1739999,1739999,127000,Petrol,Customer,Automatic
Honda Zest  2008 ,2008,1775000,1775000,106000,Petrol,Customer,Automatic
Honda Zest  2009 G Turbo,2009,1850000,1850000,112000,Petrol,Customer,Automatic
Honda Zest  2010 G Turbo,2010,2050000,2050000,133000,Petrol,Customer,Automatic
Honda Zest  2013 ,2013,2050000,2050000,66000,Petrol,Customer,Automatic
Honda Zest  2015 ,2015,2039999,2039999,118000,Petrol,Customer,Automatic
Hummer H2  2007 SUT,2007,17500000,17500000,25000,Petrol,Customer,Automatic
Hyundai Accent  2002 ,2002,675000,675000,90000,Petrol,Customer,Manual
Hyundai Accent  2024 ,2024,10000000,10000000,240,Petrol,Customer,Automatic
Hyundai Coupe  2000 ,2000,5800000,5800000,155000,Petrol,Customer,Automatic
Hyundai Coupe  2006 ,2006,2500000,2500000,80000,Petrol,Customer,Manual
Hyundai Coupe  2008 ,2008,2800000,2800000,15000,Petrol,Customer,Manual
Hyundai Elantra  2021 GLS,2021,6950000,6950000,12000,Petrol,Customer,Automatic
Hyundai Elantra  2021 Limited,2021,6150000,6150000,38000,Petrol,Customer,Automatic
Hyundai Elantra  2022 GL,2022,5850000,5850000,34200,Petrol,Customer,Automatic
Hyundai Elantra  2022 GLS,2022,6600000,6600000,14000,Petrol,Customer,Automatic
Hyundai Elantra  2022 Limited,2022,7000000,7000000,16000,Petrol,Customer,Automatic
Hyundai Elantra  2023 GL,2023,6350000,6350000,200,Petrol,Customer,Automatic
Hyundai Elantra  2023 GLS,2023,7200000,7200000,19000,Petrol,Customer,Automatic
Hyundai Elantra  2024 GL,2024,6500000,6500000,2277,Petrol,Customer,Automatic
Hyundai Elantra  2024 GLS,2024,7750000,7750000,175,Petrol,Customer,Automatic
Hyundai Excel  1992 Basegrade,1992,350000,350000,200000,Petrol,Customer,Manual
Hyundai Excel  1993 ,1993,550000,550000,100000,Petrol,Customer,Manual
Hyundai Excel  1993 Basegrade,1993,6900000,6900000,100000,Petrol,Customer,Manual
Hyundai Excel  1995 ,1995,500000,500000,14444,Petrol,Customer,Manual
Hyundai Excel  2000 ,2000,600000,600000,20000,Petrol,Customer,Manual
Hyundai Grand Starex  2008 ,2008,2800000,2800000,1858,Petrol,Customer,Automatic
Hyundai Grand Starex  2018 GLX,2018,6550000,6550000,32000,Petrol,Customer,Automatic
Hyundai Grand Starex  2021 GL,2021,5980000,5980000,75000,Petrol,Customer,Manual
Hyundai H-100  2006 ,2006,3050000,3050000,180000,Diesel,Customer,Manual
Hyundai H-100  2007 ,2007,2600000,2600000,786,Diesel,Customer,Manual
Hyundai H-100  2020 High Deck,2020,4250000,4250000,58000,Diesel,Customer,Manual
Hyundai H-100  2024 High Deck,2024,4270000,4270000,7,Diesel,Customer,Manual
Hyundai H1  2017 Automatic,2017,5550000,5550000,160000,Diesel,Customer,Automatic
Hyundai Santa Fe  2000 ,2000,560000,560000,123,Petrol,Customer,Manual
Hyundai Santa Fe  2023 Signature,2023,15000000,15000000,9023,Hybrid,PakWheels,Automatic
Hyundai Santa Fe  2023 Smart,2023,14200000,14200000,3900,Hybrid,Customer,Automatic
Hyundai Santa Fe  2024 ,2024,14800000,14800000,2000,Petrol,Customer,Automatic
Hyundai Santa Fe  2024 Signature,2024,15700000,15700000,2124,Hybrid,PakWheels,Automatic
Hyundai Santa Fe  2024 Smart,2024,13600000,13600000,1100,Hybrid,Customer,Automatic
Hyundai Santro  2000 ,2000,850000,850000,300000,Petrol,Customer,Manual
Hyundai Santro  2000 Plus,2000,2900000,2900000,80000,Petrol,Customer,Manual
Hyundai Santro  2001 ,2001,1050000,1050000,127000,Petrol,Customer,Manual
Hyundai Santro  2001 Plus,2001,825000,825000,222070,Petrol,Customer,Manual
Hyundai Santro  2002 ,2002,750000,750000,50000,Petrol,Customer,Manual
Hyundai Santro  2002 Plus,2002,1000000,1000000,250000,Petrol,Customer,Manual
Hyundai Santro  2003 ,2003,980000,980000,100000,Petrol,Customer,Manual
Hyundai Santro  2003 Club,2003,1300000,1300000,12560,Petrol,Customer,Manual
Hyundai Santro  2003 Club GV,2003,1000000,1000000,99999,Petrol,Customer,Manual
Hyundai Santro  2003 Exec,2003,1000000,1000000,12736,Petrol,Customer,Manual
Hyundai Santro  2003 Exec GV,2003,919999,919999,123,Petrol,Customer,Manual
Hyundai Santro  2003 Plus,2003,875000,875000,175000,Petrol,Customer,Automatic
Hyundai Santro  2004 ,2004,1000000,1000000,3,Petrol,Customer,Manual
Hyundai Santro  2004 Club,2004,1450000,1450000,100000,Petrol,Customer,Manual
Hyundai Santro  2004 Club GV,2004,1270000,1270000,130000,Petrol,Customer,Manual
Hyundai Santro  2004 Exec,2004,1390000,1390000,200000,Petrol,Customer,Manual
Hyundai Santro  2004 Prime GV,2004,1175000,1175000,148000,Petrol,Customer,Manual
Hyundai Santro  2005 ,2005,1000000,1000000,10000,Petrol,Customer,Manual
